Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Tennyson Learning Community,DU00107819,"56,880.92",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Vantage Ce Academies Trust,DU00107820,"36,235.84",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Embark Multi Academy Trust,DU00107822,"27,925.11",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Thomas Telford Multi Academy Trust,DU00107823,"116,258.77",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Embark Multi Academy Trust,DU00107824,"25,015.56",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Highworth Warneford School,DU00107826,"74,536.65",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,E-Act,DU00107827,"39,635.92",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,E-Act,DU00107828,"39,854.79",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Seva School,DU00107829,"88,413.52",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Watergrove Trust,DU00107832,"41,218.02",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Cornwall Education Learning Trust,DU00107838,"26,314.63",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Whitemoor Academy (Primary And Nursery),DU00107839,"66,047.21",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Shireland Collegiate Academy Trust,DU00107840,"63,320.19",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Leading Learners Mat,DU00107842,"30,026.75",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Shireland Collegiate Academy Trust,DU00107843,"78,738.14",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Shireland Collegiate Academy Trust,DU00107846,"34,993.93",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Crompton House Church Of England Academy,DU00107847,"46,019.91",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Allerton Bywater Primary School,DU00107849,"27,880.29",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Embark Multi Academy Trust,DU00107850,"40,305.51",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Laidlaw Schools Trust,DU00107856,"48,322.57",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Education Village Academy Trust,DU00107857,"26,623.86",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Shaw Education Trust,DU00107860,"73,596.42",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Nicholas Postgate Academy Trust,DU00107861,"150,571.04",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Eden Learning Trust,DU00107862,"92,569.51",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Crompton House Church Of England Academy,DU00107863,"68,828.27",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,All Saints Inter-Church Academy,DU00107864,"38,620.28",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Allestree Woodlands School,DU00107865,"46,051.98",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Diocese Of Salisbury Multi Academy Trust,DU00107866,"28,369.25",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Ocker Hill Academy,DU00107867,"32,385.20",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,"Hope Learning Trust, York",DU00107871,"53,958.72",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Manor Hall Academy Trust,DU00107874,"54,979.58",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,The Shaw Education Trust,DU00107879,"90,080.69",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Northern Star Academies Trust,DU00107910,"51,049.80",Capital Grants - Academy Trust
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Northern Star Academies Trust,DU00107912,"47,458.15",Capital Grants - Academy Trust
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Rotherham Borough Council,DU00106198,"26,645.50",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Cambridgeshire County Council,DU00106204,"33,580.45",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Halton Borough Council,DU00106217,"27,280.72",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Leeds Diocesan Board Of Finance,DU00106224,"26,233.81",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00106237,"55,762.59",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,St Albans Diocesan Board Of Finance,DU00106251,"30,493.73",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Derby Diocesan Board Of Education,DU00106253,"32,395.43",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Archdiocese Of Liverpool,DU00106257,"40,535.12",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Tameside Metro Borough Council,DU00106260,"29,379.00",Capital Grants - Local Government
