Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Milton Keynes Council,DU00107624,"2,676,233.35",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Derbyshire County Council,DU00107625,"10,339,719.85",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Derby City Council,DU00107626,"4,033,791.58",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Dorset Council,DU00107627,"4,165,414.49",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,"Bournemouth, Christchurch And Poole Council",DU00107628,"3,299,331.96",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Durham County Council,DU00107629,"5,074,142.57",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Darlington Borough Council,DU00107630,"1,139,427.69",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,East Sussex County Council,DU00107631,"4,760,494.35",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Brighton And Hove City Council,DU00107632,"2,088,499.56",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Hampshire County Council,DU00107633,"18,742,555.68",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Portsmouth City Council,DU00107634,"1,554,392.46",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Southampton City Council,DU00107635,"2,412,183.51",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Leicestershire County Council,DU00107636,"7,987,300.50",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Leicester City Council,DU00107637,"3,173,485.57",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Rutland County Council,DU00107638,"424,932.39",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Staffordshire County Council,DU00107639,"8,751,512.11",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Stoke On Trent City Council,DU00107640,"3,668,448.43",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wiltshire County Council,DU00107641,"6,373,218.93",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Swindon Borough Council,DU00107642,"2,433,778.44",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Bracknell Forest Borough Council,DU00107643,"1,532,733.76",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Royal Borough Of Windsor And Maidenhead,DU00107644,"1,055,727.68",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,West Berkshire Council,DU00107645,"1,221,686.47",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Reading Borough Council,DU00107646,"2,108,692.94",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Slough Borough Council,DU00107647,"2,596,245.41",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Wokingham Council,DU00107648,"1,960,250.15",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Cambridgeshire County Council,DU00107649,"5,784,180.01",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Peterborough City Council,DU00107650,"1,946,373.61",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Halton Borough Council,DU00107651,"1,540,956.11",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Warrington Borough Council,DU00107652,"2,462,378.24",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Devon County Council,DU00107653,"9,277,505.21",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Plymouth City Council,DU00107654,"2,404,262.44",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Torbay Council,DU00107655,"1,417,265.17",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Essex County Council,DU00107656,"13,980,230.82",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Southend On Sea Borough Council,DU00107657,"1,371,172.23",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Thurrock Borough Council,DU00107658,"1,610,216.28",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Herefordshire Council,DU00107659,"2,024,181.68",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Worcestershire County Council,DU00107660,"5,889,245.05",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Kent County Council,DU00107661,"19,623,833.44",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Medway Council,DU00107662,"3,872,792.67",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Lancashire County Council,DU00107663,"13,669,865.30",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Blackburn With Darwen Borough Council,DU00107664,"1,770,426.38",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Blackpool Borough Council,DU00107665,"1,559,768.85",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Nottinghamshire County Council,DU00107666,"11,384,810.25",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00107667,"2,545,719.83",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Shropshire Council,DU00107668,"2,805,949.04",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Telford And Wrekin Council,DU00107669,"2,613,381.82",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Cheshire East Council,DU00107670,"4,125,536.74",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Cheshire West And Chester Council,DU00107671,"3,041,296.93",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Cornwall Council,DU00107672,"6,896,654.52",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Gloucestershire County Council,DU00107673,"5,607,565.36",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Hertfordshire County Council,DU00107674,"11,583,848.78",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Isle Of Wight Council,DU00107675,"875,915.52",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Lincolnshire County Council,DU00107676,"8,445,790.92",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Norfolk County Council,DU00107677,"7,461,007.68",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Northumberland County Council,DU00107678,"2,939,613.18",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Oxfordshire County Council,DU00107679,"6,443,938.92",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Somerset Council,DU00107680,"6,879,760.05",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Suffolk County Council,DU00107681,"7,762,418.21",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Surrey County Council,DU00107682,"13,258,287.35",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Warwickshire County Council,DU00107683,"4,986,783.74",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,West Sussex County Council,DU00107684,"9,832,878.23",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,North Northamptonshire Council,DU00107685,"4,534,851.42",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,West Northamptonshire Council,DU00107686,"5,244,714.31",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Cumberland Council,DU00107687,"2,335,067.04",Capital Grants - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Westmorland And Furness Council,DU00107688,"2,428,357.41",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Leicester City Council,D-CINV006377,"55,754.50",Capital Grant - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Suffolk County Council,D-CINV006382,"117,962.28",Capital Grant - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,D-CINV006385,"104,982.35",Capital Grant - Local Government
Department for Education,Core,08/03/2024,Grants Expenditure,Capital Directorate,Warrington Borough Council,D-CINV006459,"60,105.76",Capital Grant - Local Government
Department for Education,Core,13/03/2024,Grants Expenditure,Capital Directorate,Warrington Borough Council,D-CINV006460,"53,720.16",Capital Grant - Local Government
Department for Education,Core,13/03/2024,Grants Expenditure,Capital Directorate,South Gloucestershire Council,D-CINV006461,"85,349.68",Capital Grant - Local Government
Department for Education,Core,13/03/2024,Grants Expenditure,Capital Directorate,Durham County Council,D-CINV006525,"115,190.00",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Gloucestershire County Council,D-CINV006612,"891,498.00",Capital Grant - Local Government
Department for Education,Core,27/03/2024,Grants Expenditure,Capital Directorate,Leicestershire County Council,D-CINV006614,"76,247.02",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,East Riding Of Yorkshire Council,D-CINV006618,"184,143.00",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,D-CINV006634,"156,171.00",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Southwark London Borough Council,D-CINV006635,"33,396.65",Capital Grant - Local Government
Department for Education,Core,27/03/2024,Grants Expenditure,Capital Directorate,Somerset Council,D-CINV006654,"63,373.36",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Coventry City Council,D-CINV006655,"450,000.00",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Hillingdon,D-CINV006656,"115,108.42",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,North Tyneside Metro Borough Council,D-CINV006657,"35,605.32",Capital Grant - Local Government
Department for Education,Core,27/03/2024,Grants Expenditure,Capital Directorate,Solihull Metro Borough Council,D-CINV006670,"241,828.40",Capital Grant - Local Government
Department for Education,Core,25/03/2024,Grants Expenditure,Capital Directorate,Oxfordshire County Council,D-CINV006672,"35,383.00",Capital Grant - Local Government
Department for Education,Core,22/03/2024,Grants Expenditure,Capital Directorate,Surrey County Council,D-CINV006723,"250,000.00",Capital Grant - Local Government
Department for Education,Core,27/03/2024,Grants Expenditure,Capital Directorate,Wolverhampton City Council,D-CINV006737,"371,711.37",Capital Grant - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,West Northamptonshire Council,D-CINV006743,"202,191.00",Capital Grant - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Rotherham Borough Council,D-CINV006747,"492,139.37",Capital Grant - Local Government
Department for Education,Core,28/03/2024,Grants Expenditure,Capital Directorate,Southwark London Borough Council,D-CINV006749,"285,648.22",Capital Grant - Local Government
Department for Education,Core,05/03/2024,Other Goods and Services,Capital Directorate,Parayhouse School,DU00105951,"-94,290.75",Professional Services
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Camden London Borough Council,CL071661,"429,343.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Camden London Borough Council,CL071662,"724,823.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Camden London Borough Council,CL071663,"961,183.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Greenwich London Borough Council,CL071664,"3,072,739.29",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Islington London Borough Council,CL071665,"1,262,482.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Islington London Borough Council,CL071666,"164,755.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Islington London Borough Council,CL071667,"829,679.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lambeth London Borough Council,CL071668,"482,673.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,CL071669,"1,139,530.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,CL071670,"1,876,089.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,CL071671,"993,267.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,CL071672,"506,587.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,CL071673,"1,434,461.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Lewisham London Borough Council,CL071674,"446,271.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Southwark London Borough Council,CL071675,"557,199.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Southwark London Borough Council,CL071676,"546,312.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Southwark London Borough Council,CL071677,"686,061.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Tower Hamlets,CL071678,"1,921,394.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Tower Hamlets,CL071679,"409,201.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barking And Dagenham London Borough Council,CL071681,"826,015.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barking And Dagenham London Borough Council,CL071682,"1,082,409.97",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Bexley London Borough Council,CL071683,"763,947.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Brent London Borough Council,CL071684,"220,958.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Croydon London Borough Council,CL071685,"449,642.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Ealing London Borough Council,CL071686,"745,297.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Ealing London Borough Council,CL071687,"1,261,742.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Ealing London Borough Council,CL071688,"975,417.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Enfield London Borough Council,CL071689,"415,862.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Enfield London Borough Council,CL071690,"806,603.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Haringey London Borough Council,CL071691,"1,417,224.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Harrow London Borough Council,CL071692,"385,829.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,London Borough Of Hillingdon,CL071693,"444,603.52",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Merton Borough Council,CL071694,"1,199,234.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newham London Borough Council,CL071695,"730,078.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newham London Borough Council,CL071696,"620,104.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newham London Borough Council,CL071697,"1,319,303.58",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newham London Borough Council,CL071698,"88,555.93",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Redbridge London Borough Council,CL071699,"419,688.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Richmond Upon Thames London Borough Council,CL071700,"335,416.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Waltham Forest London Borough Council,CL071701,"1,046,787.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Waltham Forest London Borough Council,CL071702,"469,140.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Waltham Forest London Borough Council,CL071703,"585,806.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Birmingham City Council,CL071704,"1,141,181.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Birmingham City Council,CL071705,"1,040,483.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Birmingham City Council,CL071706,"445,654.03",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Birmingham City Council,CL071707,"850,341.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Birmingham City Council,CL071708,"1,080,258.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Coventry City Council,CL071709,"468,762.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Dudley Metropolitan Borough Council,CL071710,"461,861.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,CL071711,"358,246.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,CL071712,"1,306,706.26",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Solihull Metro Borough Council,CL071713,"1,692,234.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,CL071714,"193,149.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Wolverhampton City Council,CL071715,"1,232,873.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Wolverhampton City Council,CL071716,"1,062,938.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Knowsley Metro Borough Council,CL071717,"5,171,823.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Knowsley Metro Borough Council,CL071718,"32,342.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,CL071719,"1,476,490.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,CL071720,"71,022.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Liverpool City Council,CL071721,"492,944.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,St Helens Metro Borough Council,CL071722,"591,454.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,St Helens Metro Borough Council,CL071723,"258,937.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Wirral Metro Borough Council,CL071724,"1,367,885.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Manchester City Council,CL071725,"822,450.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Manchester City Council,CL071726,"93,184.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Oldham Metropolitan Borough Council,CL071727,"1,175,923.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Oldham Metropolitan Borough Council,CL071728,"1,072,737.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,CL071729,"1,140,497.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,CL071730,"653,198.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,CL071731,"544,401.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Rochdale Borough Council,CL071732,"509,493.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,CL071733,"1,011,934.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,CL071734,"353,226.40",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,CL071735,"1,467,906.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,CL071736,"1,054,255.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Salford City Council,CL071737,"677,735.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Tameside Metro Borough Council,CL071738,"429,541.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Tameside Metro Borough Council,CL071739,"1,000,243.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Tameside Metro Borough Council,CL071740,"145,578.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Tameside Metro Borough Council,CL071741,"1,973,688.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,CL071742,"1,101,110.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,CL071743,"724,810.58",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,CL071744,"1,778,857.22",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,CL071745,"340,339.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,CL071746,"3,164,450.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Barnsley Metropolitan Borough Council,CL071747,"939,139.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Doncaster Metro Borough Council,CL071748,"869,502.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Rotherham Borough Council,CL071749,"1,555,627.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sheffield City Council,CL071750,"1,476,599.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sheffield City Council,CL071751,"658,009.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sheffield City Council,CL071752,"1,341,895.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sheffield City Council,CL071753,"1,870,442.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Sheffield City Council,CL071754,"646,777.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,CL071755,"2,251,162.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,CL071756,"4,574,149.92",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Calderdale Metro Borough Council,CL071757,"1,214,904.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Kirklees Metro Council,CL071758,"555,675.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Kirklees Metro Council,CL071759,"1,476,124.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071760,"944,957.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071761,"673,028.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071762,"2,364,399.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071763,"95,169.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071764,"85,937.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071765,"2,843,910.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Leeds City Council,CL071766,"818,299.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Gateshead Council,CL071767,"1,264,133.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,CL071768,"1,096,483.25",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,CL071769,"2,317,846.00",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,CL071770,"441,023.75",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,CL071771,"809,261.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,Newcastle Upon Tyne City Council,CL071772,"1,112,130.50",Current Grants - Local Government
Department for Education,Core,20/03/2024,Grants Expenditure,Capital Directorate,North Tyneside Metro Borough Council,CL071773,"671,648.25",Current Grants - Local Government
